[2026-03-30T01:29:48.704Z] SERVER STARTING...
[2026-03-30T01:29:48.884Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T01:29:48.885Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:53.590Z] SERVER STARTING...
[2026-03-30T04:59:53.716Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T04:59:53.716Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:54.692Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T04:59:54.721Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T04:59:54.722Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T04:59:54.764Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T04:59:55.047Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.050Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.052Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.053Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.054Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.056Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.057Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.058Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.059Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.061Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.061Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T04:59:55.130Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
